cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
south,Philadelphia,main st,kelly dr,0,4210160108,,40.014883,350,2011,-75.206759,79191,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79191,8/21/11,Bicycle 1,Lower Northwest,ridge ave southbound lanes
north,Philadelphia,lombard st,pine st,0,4210160103,,39.946768,476,2010,-75.178252,70612,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70612,8/12/10,Bicycle 1,Central,22nd st
north,Philadelphia,race st,arch st,0,4210160103,,39.95311,279,2010,-75.14834,70613,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70613,9/2/10,Bicycle 1,Central,5th st
south,Philadelphia,race st,arch st,0,4210160103,,39.95336,255,2010,-75.14983,70614,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70614,9/2/10,Bicycle 1,Central,6th st
south,Philadelphia,walnut st,locust st,291,4210160103,,39.948528,163,2010,-75.16453,70616,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70616,11/30/10,Bicycle 1,Central,broad st southbound lanes
north,Philadelphia,callowhill st,vine st,611,4210160103,,39.958644,92,2010,-75.162148,70617,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70617,12/15/10,Bicycle 1,Central,broad st northbound lanes
south,Philadelphia,callowhill st,vine st,611,4210160103,,39.95865,182,2010,-75.16226,70618,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70618,8/26/10,Bicycle 1,Central,broad st southbound lanes
north,Philadelphia,22nd st,21st st,0,4210160103,,39.960823,207,2010,-75.174336,70619,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70619,8/26/10,Bicycle 1,Central,ben franklin pkwy inner la
south,Philadelphia,22nd st,21st st,0,4210160103,,39.9607,125,2010,-75.174444,70620,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70620,8/26/10,Bicycle 1,Central,ben franklin pkwy inner la
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.94117,300,2010,-75.14767,71767,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71767,11/11/10,Bicycle 1,Central,3rd st
south,Philadelphia,bainbridge st,south st,0,4210160103,,39.940792,154,2010,-75.145744,71770,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71770,11/11/10,Bicycle 1,Central,2nd st
